,full_sample,GFC 2008-09,COVID 2020,Rate Hike 2022
Static-Hist,0.014772727272727272,,0.25,0.03187250996015936
Rolling-252,0.026704545454545453,,0.17307692307692307,0.043824701195219126
GARCH,0.03579545454545455,,0.11538461538461539,0.035856573705179286
Regime-Hist,0.03295454545454545,,0.28846153846153844,0.00398406374501992
Regime-EVT,0.03238636363636364,,0.28846153846153844,0.00398406374501992
